k,s,property_rms_error,model_rms_error,inference_total,properties_within_2sigma_pct,data_fit_improvement_pct
0.5,0.5,0.37222659889841336,0.9099335171386531,1.8250329494476318,100.0,84.83058726016245
0.5,1.0,0.3801310713928612,0.6879342552184525,1.7007420063018799,100.0,81.93817132449652
0.5,1.5,0.35430638116435176,0.5306386660913106,1.6111903190612793,100.0,78.705069562186
0.5,2.0,0.3187859661915003,0.4328148981879923,1.6965620517730713,100.0,76.19355181206713
1.0,0.5,0.3628370011808786,0.9075991580820629,1.6791014671325684,100.0,84.82164706101705
1.0,1.0,0.3628572272487658,0.6782928225451276,1.6261301040649414,100.0,81.90773839234848
1.0,1.5,0.33344175809783744,0.5150584508249816,1.594468593597412,100.0,78.65461848191042
1.0,2.0,0.2962839919750089,0.4138463056029605,1.6172044277191162,100.0,76.12604839655428
2.0,0.5,0.34606295744204757,0.9027586921720169,1.6416771411895752,100.0,84.79776051870707
2.0,1.0,0.32711968790214263,0.657929949181847,1.7188053131103516,100.0,81.8151562575283
2.0,1.5,0.2819657246547973,0.47764829521647184,1.6163959503173828,100.0,78.47773447387797
2.0,2.0,0.2325718468078527,0.36297130628528756,1.6306610107421875,100.0,75.85175129123103
5.0,0.5,0.31271803312551855,0.8859421509363873,1.6827402114868164,100.0,84.69729810450949
5.0,1.0,0.2574835514100216,0.6085600247027447,1.6196715831756592,100.0,81.40350967307782
5.0,1.5,0.1876315637567739,0.4048658312788051,1.6595990657806396,100.0,77.61581397347621
5.0,2.0,0.1461823909298045,0.292588568983783,1.690617561340332,100.0,74.27215949637358
