bc_name,method,N_d,property_rms_error,model_rms_error,inference_total,properties_within_2sigma_pct
Dirichlet,fem,10,0.4207107235526748,0.43105914335432094,1.5719330310821533,100.0
Dirichlet,fem,20,0.2558765634660345,0.27318607400738876,2.602757692337036,100.0
Dirichlet,fem,30,0.1122809465655945,0.15477448241589006,3.5845835208892822,100.0
Dirichlet,fem,50,0.10068274769973944,0.18129434573249198,5.6858954429626465,100.0
Dirichlet,fem,75,0.10953209438322016,0.1742854206584725,8.520419120788574,95.0
Dirichlet,fem,100,0.07829252716501862,0.1462886930026462,11.19668960571289,100.0
Dirichlet,spectral,10,0.4238811168579235,0.43412820402479096,1.0285813808441162,100.0
Dirichlet,spectral,20,0.2577316458108112,0.27497185933651297,0.8505551815032959,100.0
Dirichlet,spectral,30,0.11316970471306081,0.1557696906226692,1.1041600704193115,100.0
Dirichlet,spectral,50,0.10087666257940886,0.18174320802902216,1.6261050701141357,100.0
Dirichlet,spectral,75,0.10974387740141438,0.17542831409799492,2.166239023208618,95.0
Dirichlet,spectral,100,0.07842709372130859,0.14760577093734367,3.153864860534668,100.0
Mixed_D-N,fem,10,0.42049002034500765,0.43650833845376735,1.7280433177947998,100.0
Mixed_D-N,fem,20,0.25386179256285857,0.27449683525486385,2.581876516342163,100.0
Mixed_D-N,fem,30,0.11004216017462398,0.16019904513083563,3.508622646331787,100.0
Mixed_D-N,fem,50,0.10102217770509178,0.19242595671131416,5.970960855484009,100.0
Mixed_D-N,fem,75,0.10911674613086067,0.18205024777456644,8.461077451705933,95.0
Mixed_D-N,fem,100,0.07794809462650487,0.14584898723244052,11.160298347473145,100.0
Mixed_D-N,spectral,10,0.4231829557407975,0.4392876066903292,0.6315677165985107,100.0
Mixed_D-N,spectral,20,0.2555569460876015,0.2758520401975332,0.8208482265472412,100.0
Mixed_D-N,spectral,30,0.11069186558274678,0.16015617763684264,0.993300199508667,100.0
Mixed_D-N,spectral,50,0.1008849540535647,0.19040302985222293,1.4604811668395996,100.0
Mixed_D-N,spectral,75,0.10990766586024456,0.18182912895658904,2.144796371459961,95.0
Mixed_D-N,spectral,100,0.0787830822712536,0.1476770964824111,3.0375800132751465,100.0
Mixed_N-D,fem,10,0.42072512365478715,0.4378340504062252,1.6213436126708984,100.0
Mixed_N-D,fem,20,0.2558521511640535,0.2806767895602286,2.5816380977630615,100.0
Mixed_N-D,fem,30,0.11206292292670454,0.15554095085581401,3.754444122314453,100.0
Mixed_N-D,fem,50,0.10040021354783246,0.18463228053450026,5.445854187011719,100.0
Mixed_N-D,fem,75,0.10953437442506868,0.1764776358813676,8.29538869857788,95.0
Mixed_N-D,fem,100,0.07834337368132185,0.14986632483655224,11.222936868667603,100.0
Mixed_N-D,spectral,10,0.4240728442648266,0.4410287507266704,0.6223795413970947,100.0
Mixed_N-D,spectral,20,0.2577123633365474,0.2827660770386093,0.8131463527679443,100.0
Mixed_N-D,spectral,30,0.1104354288690109,0.15559972141787018,1.054079532623291,100.0
Mixed_N-D,spectral,50,0.10093104834535074,0.18637127446411242,1.4487910270690918,100.0
Mixed_N-D,spectral,75,0.10613485045449172,0.17571179344683852,2.15147066116333,100.0
Mixed_N-D,spectral,100,0.07649816465171598,0.15044830651037067,2.67173433303833,100.0
Neumann,fem,10,0.3250316715766886,0.3603459885147363,1.8110065460205078,100.0
Neumann,fem,20,0.13623278819210516,0.18755148191551815,2.7065346240997314,100.0
Neumann,fem,30,0.11639289114993884,0.16572715894632187,3.3842179775238037,100.0
Neumann,fem,50,0.13661253552199276,0.2034153613759573,5.869287729263306,100.0
Neumann,fem,75,0.13386819114418272,0.1948916927128228,8.275404691696167,90.0
Neumann,fem,100,0.09385165973790957,0.16061859401871392,11.187072038650513,95.0
Neumann,spectral,10,0.3266240444609742,0.3623496547736241,0.677696943283081,100.0
Neumann,spectral,20,0.1373433951214513,0.18936574513232696,0.9257032871246338,100.0
Neumann,spectral,30,0.11528274936964361,0.16544970808678353,1.0969152450561523,100.0
Neumann,spectral,50,0.13767491468573748,0.20497441471925423,1.5533950328826904,100.0
Neumann,spectral,75,0.1362526933999538,0.19814683112729145,2.252655029296875,90.0
Neumann,spectral,100,0.09418617422533464,0.16142121014740743,3.3886559009552,95.0
