method,n_points,dofs,n_samples,mat_shape,min_eig,neg_count,near_zero_count,symmetry_rel_err,symmetry_ok,symmetry_frob_diff,error
simpson,32,32,32,50,-0.025498414509719722,19,1,0.6022917006842542,False,0.34287906613225105,
simpson,32,32,64,50,-0.02549819791069068,19,1,0.6022836071631911,False,0.3428733845041268,
simpson,32,32,128,50,-0.02549819791069064,19,1,0.6022836071631911,False,0.3428733845041268,
simpson,32,32,256,50,-0.0254981979106907,19,1,0.6022836071631911,False,0.3428733845041268,
simpson,32,32,512,50,-0.025498197910690624,19,1,0.6022836071631911,False,0.3428733845041268,
simpson,32,32,1024,50,-0.02549819791069068,19,1,0.6022836071631912,False,0.34287338450412674,
simpson,32,64,32,50,-0.02549817697084295,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,64,64,50,-0.02549817697084295,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,64,128,50,-0.02549817697084292,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,64,256,50,-0.02549817697084295,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,64,512,50,-0.025498176970842976,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,64,1024,50,-0.025498176970842956,19,1,0.6022652454063455,False,0.3428629549958391,
simpson,32,128,32,50,-0.02549817697084292,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,128,64,50,-0.02549817697084292,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,128,128,50,-0.02549817697084292,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,128,256,50,-0.02549817697084295,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,128,512,50,-0.025498176970842976,19,1,0.6022652454063455,False,0.34286295499583913,
simpson,32,128,1024,50,-0.025498176970842956,19,1,0.6022652454063455,False,0.3428629549958391,
trapz,32,32,32,50,-0.0004039025103985433,19,1,0.006648673682977067,False,0.0034244650752474747,
trapz,32,32,64,50,-0.00024326971129021494,19,1,0.005526920516195835,False,0.002846685302561025,
trapz,32,32,128,50,-0.00024326971129021318,19,1,0.005526920516195836,False,0.002846685302561026,
trapz,32,32,256,50,-0.00024326971129021402,19,1,0.005526920516195835,False,0.002846685302561025,
trapz,32,32,512,50,-0.00024326971129021572,19,1,0.005526920516195835,False,0.002846685302561025,
