success,execution_time,failure_type,failure_stage,error_message,warnings_count,memory_peak,param_N,param_N_d,param_N_p,param_endpoints,param_basis_type,param_integration_method_G,param_integration_method_T,param_n_points_G,param_n_points_T,param_alpha,param_K,param_true_data_noise,param_assumed_data_noise,param_m_bar_callable,param_m_0_callable,param_solver,result_compute_property_posterior
True,0.23680591583251953,,,,0,,10,10,1,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.1548168659210205, 'cov_P_computation_time': 0.07923650741577148, 'cov_P_shape': (1, 1), 'cov_P_min_eigenvalue': 0.0026918867968441164, 'cov_P_max_eigenvalue': 0.0026918867968441164, 'cov_P_num_negative_eigenvalues': 0, 'cov_P_condition_number': 1.0, 'cov_P_is_positive_definite': True, 'cov_P_is_invertible': True}"
True,0.6373386383056641,,,,0,,10,10,8,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.15461254119873047, 'cov_P_computation_time': 0.4797055721282959, 'cov_P_shape': (8, 8), 'cov_P_min_eigenvalue': 0.0007075164866339438, 'cov_P_max_eigenvalue': 0.056378730984589634, 'cov_P_num_negative_eigenvalues': 0, 'cov_P_condition_number': 79.68539539313798, 'cov_P_is_positive_definite': True, 'cov_P_is_invertible': True}"
False,1.0461783409118652,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -2.472471290060932e-06); Gaussian measure construction failed: Covariance matrix is not non-negative; 1 negative eigenvalues detected,0,,10,10,15,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.1542046070098877, 'cov_P_computation_time': 0.8895158767700195, 'cov_P_shape': (15, 15), 'cov_P_min_eigenvalue': -2.472471290060932e-06, 'cov_P_max_eigenvalue': 0.11124979459130366, 'cov_P_num_negative_eigenvalues': 1, 'cov_P_condition_number': 44995.383784036574, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 2.48e-06 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
False,1.4660789966583252,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -0.00013682931002759468); Gaussian measure construction failed: Covariance matrix is not non-negative; 3 negative eigenvalues detected,0,,10,10,22,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.15895843505859375, 'cov_P_computation_time': 1.304603099822998, 'cov_P_shape': (22, 22), 'cov_P_min_eigenvalue': -0.00013682931002759468, 'cov_P_max_eigenvalue': 0.16850051217119139, 'cov_P_num_negative_eigenvalues': 3, 'cov_P_condition_number': 1231.4650431052346, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 1.37e-04 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
False,1.900564432144165,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -0.0008485296693976267); Gaussian measure construction failed: Covariance matrix is not non-negative; 7 negative eigenvalues detected,0,,10,10,30,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.15521502494812012, 'cov_P_computation_time': 1.7428016662597656, 'cov_P_shape': (30, 30), 'cov_P_min_eigenvalue': -0.0008485296693976267, 'cov_P_max_eigenvalue': 0.23026713026380302, 'cov_P_num_negative_eigenvalues': 7, 'cov_P_condition_number': 271.37192554182604, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 8.49e-04 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
True,0.7148394584655762,,,,0,,10,32,1,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.5610518455505371, 'cov_P_computation_time': 0.14801859855651855, 'cov_P_shape': (1, 1), 'cov_P_min_eigenvalue': 0.0018425704053267467, 'cov_P_max_eigenvalue': 0.0018425704053267467, 'cov_P_num_negative_eigenvalues': 0, 'cov_P_condition_number': 1.0, 'cov_P_is_positive_definite': True, 'cov_P_is_invertible': True}"
True,1.5931744575500488,,,,0,,10,32,8,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.5625612735748291, 'cov_P_computation_time': 1.0246052742004395, 'cov_P_shape': (8, 8), 'cov_P_min_eigenvalue': 0.0006184952610863216, 'cov_P_max_eigenvalue': 0.041806672394341514, 'cov_P_num_negative_eigenvalues': 0, 'cov_P_condition_number': 67.59416769162065, 'cov_P_is_positive_definite': True, 'cov_P_is_invertible': True}"
False,2.4913506507873535,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -3.1444177721945585e-05); Gaussian measure construction failed: Covariance matrix is not non-negative; 1 negative eigenvalues detected,0,,10,32,15,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.5730078220367432, 'cov_P_computation_time': 1.9126677513122559, 'cov_P_shape': (15, 15), 'cov_P_min_eigenvalue': -3.1444177721945585e-05, 'cov_P_max_eigenvalue': 0.08221882166676237, 'cov_P_num_negative_eigenvalues': 1, 'cov_P_condition_number': 2614.7550237696323, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 3.15e-05 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
False,3.3715786933898926,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -6.965663801170044e-05); Gaussian measure construction failed: Covariance matrix is not non-negative; 3 negative eigenvalues detected,0,,10,32,22,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.5674269199371338, 'cov_P_computation_time': 2.7983925342559814, 'cov_P_shape': (22, 22), 'cov_P_min_eigenvalue': -6.965663801170044e-05, 'cov_P_max_eigenvalue': 0.124292164203781, 'cov_P_num_negative_eigenvalues': 3, 'cov_P_condition_number': 1784.35491220382, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 6.97e-05 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
False,4.365406513214111,numerical_instability,compute_property_posterior,Covariance matrix not positive definite (min eigenvalue: -0.000790586566636123); Gaussian measure construction failed: Covariance matrix is not non-negative; 8 negative eigenvalues detected,0,,10,32,30,"(0, 1)",sine,trapz,trapz,500,500,0.1,50,0.1,0.1,<function <lambda> at 0x7f5765e2de40>,<function <lambda> at 0x7f5765ebaca0>,<pygeoinf.linear_solvers.LUSolver object at 0x7f5765da6610>,"{'property_posterior_computation_time': 0.5665104389190674, 'cov_P_computation_time': 3.793180227279663, 'cov_P_shape': (30, 30), 'cov_P_min_eigenvalue': -0.000790586566636123, 'cov_P_max_eigenvalue': 0.16970567021752936, 'cov_P_num_negative_eigenvalues': 8, 'cov_P_condition_number': 214.6579228377383, 'cov_P_is_positive_definite': False, 'cov_P_is_invertible': True, 'cov_P_suggested_regularization': ['Add diagonal regularization ~ 7.91e-04 to cov_P'], 'cov_P_measure_failed': True, 'cov_P_measure_error': 'Covariance matrix is not non-negative'}"
