method,n_points,run,time_s,result
simpson,10,0,0.00030943900128477253,0.7914857790217357
simpson,10,1,0.00019525099924067035,0.7914857790217357
simpson,10,2,0.00016350200166925788,0.7914857790217357
simpson,10,3,0.0001444549998268485,0.7914857790217357
simpson,10,4,0.0002924469990830403,0.7914857790217357
simpson,18,0,0.00027886099996976554,0.7716401344609862
simpson,18,1,0.00015600699771312065,0.7716401344609862
simpson,18,2,0.0001661059977777768,0.7716401344609862
simpson,18,3,0.0001346969984297175,0.7716401344609862
simpson,18,4,0.00013450599726638757,0.7716401344609862
simpson,33,0,9.968900121748447e-05,0.7718543238063527
simpson,33,1,0.0001412090023222845,0.7718543238063527
simpson,33,2,0.00010237499736831523,0.7718543238063527
simpson,33,3,9.39089986786712e-05,0.7718543238063527
simpson,33,4,0.00014045799980522133,0.7718543238063527
simpson,61,0,9.852700168266892e-05,0.7718729693787006
simpson,61,1,9.788599709281698e-05,0.7718729693787006
simpson,61,2,9.629399937693961e-05,0.7718729693787006
simpson,61,3,9.543199848849326e-05,0.7718729693787006
simpson,61,4,9.579199831932783e-05,0.7718729693787006
simpson,112,0,0.00020613300148397684,0.7718735125639441
simpson,112,1,0.00013735099855693989,0.7718735125639441
simpson,112,2,0.00014218099749996327,0.7718735125639441
simpson,112,3,0.00013574799959314987,0.7718735125639441
simpson,112,4,0.0001391950027027633,0.7718735125639441
simpson,206,0,0.00015297099889721721,0.7718744576188662
simpson,206,1,0.00014878399815643206,0.7718744576188662
simpson,206,2,0.00015736899877083488,0.7718744576188662
simpson,206,3,0.00014388400086318143,0.7718744576188662
simpson,206,4,0.0001868660001491662,0.7718744576188662
simpson,379,0,0.00012674100071308203,0.7718745499898951
simpson,379,1,0.00012480700024752878,0.7718745499898951
simpson,379,2,0.00011181299851159565,0.7718745499898951
simpson,379,3,0.00010940799984382465,0.7718745499898951
simpson,379,4,0.0001349869999103248,0.7718745499898951
simpson,695,0,0.001991511002415791,0.7718745508937309
simpson,695,1,0.0014312260027509183,0.7718745508937309
simpson,695,2,0.00021854599981452338,0.7718745508937309
simpson,695,3,0.0001061630027834326,0.7718745508937309
simpson,695,4,7.727699994575232e-05,0.7718745508937309
simpson,1274,0,0.0001901219984574709,0.7718745509157677
simpson,1274,1,0.0001498950005043298,0.7718745509157677
simpson,1274,2,0.00013248200048110448,0.7718745509157677
simpson,1274,3,0.00013237200255389325,0.7718745509157677
simpson,1274,4,0.00013667999883182347,0.7718745509157677
simpson,2335,0,0.0002150999971490819,0.7718745509802494
simpson,2335,1,0.0001679500019236002,0.7718745509802494
simpson,2335,2,0.00013038799806963652,0.7718745509802494
simpson,2335,3,0.00012255299952812493,0.7718745509802494
simpson,2335,4,0.00012119100210838951,0.7718745509802494
simpson,4281,0,0.00018368000019108877,0.7718745509808709
simpson,4281,1,0.00017660599769442342,0.7718745509808709
simpson,4281,2,0.0001819360004446935,0.7718745509808709
simpson,4281,3,0.00018818800162989646,0.7718745509808709
simpson,4281,4,0.00019352899835212156,0.7718745509808709
simpson,7847,0,0.0003935189997719135,0.7718745509809257
simpson,7847,1,0.000953967002715217,0.7718745509809257
simpson,7847,2,0.00043531900155358016,0.7718745509809257
simpson,7847,3,0.0003081070026382804,0.7718745509809257
simpson,7847,4,0.0002885389985749498,0.7718745509809257
simpson,14384,0,0.0009271560011256952,0.7718745509809269
simpson,14384,1,0.000696675997460261,0.7718745509809269
simpson,14384,2,0.0006711379974149168,0.7718745509809269
simpson,14384,3,0.0008026489995245356,0.7718745509809269
simpson,14384,4,0.0007558990000688937,0.7718745509809269
simpson,26366,0,0.0017408149979019072,0.7718745509809307
simpson,26366,1,0.0009565710024617147,0.7718745509809307
simpson,26366,2,0.0015044249994389247,0.7718745509809307
simpson,26366,3,0.0014520049990096595,0.7718745509809307
simpson,26366,4,0.0015224689996102825,0.7718745509809307
simpson,48329,0,0.00835323600040283,0.7718745509809309
simpson,48329,1,0.0033985619993472937,0.7718745509809309
simpson,48329,2,0.003377390999958152,0.7718745509809309
simpson,48329,3,0.0027534840010048356,0.7718745509809309
simpson,48329,4,0.0029542350021074526,0.7718745509809309
simpson,88586,0,0.010263743999530561,0.771874550980931
simpson,88586,1,0.005404632000136189,0.771874550980931
simpson,88586,2,0.006615577000047779,0.771874550980931
simpson,88586,3,0.006095656997786136,0.771874550980931
simpson,88586,4,0.012451539001631318,0.771874550980931
simpson,162377,0,0.022608991999732098,0.771874550980931
simpson,162377,1,0.013104443001793697,0.771874550980931
simpson,162377,2,0.015270928000973072,0.771874550980931
simpson,162377,3,0.015105558999493951,0.771874550980931
simpson,162377,4,0.011905781000677962,0.771874550980931
simpson,297635,0,0.032500681998499203,0.7718745509809308
simpson,297635,1,0.025242505998903653,0.7718745509809308
simpson,297635,2,0.025402663999557262,0.7718745509809308
simpson,297635,3,0.03984594299981836,0.7718745509809308
simpson,297635,4,0.027572412000154145,0.7718745509809308
simpson,545559,0,0.06096570900263032,0.7718745509809312
simpson,545559,1,0.051187799999752315,0.7718745509809312
simpson,545559,2,0.038952762999542756,0.7718745509809312
simpson,545559,3,0.049312610000924906,0.7718745509809312
simpson,545559,4,0.04920356000002357,0.7718745509809312
simpson,1000000,0,0.11656050600140588,0.7718745509809308
simpson,1000000,1,0.06647159299973282,0.7718745509809308
simpson,1000000,2,0.07732575100089889,0.7718745509809308
simpson,1000000,3,0.07188738400145667,0.7718745509809308
simpson,1000000,4,0.08893406599963782,0.7718745509809308
trapz,10,0,0.0001097189997381065,0.7806801212011807
trapz,10,1,3.284299964434467e-05,0.7806801212011807
trapz,10,2,2.8553997253766283e-05,0.7806801212011807
trapz,10,3,2.7140999009134248e-05,0.7806801212011807
trapz,10,4,2.6599998818710446e-05,0.7806801212011807
trapz,18,0,6.570600089617074e-05,0.774160089169306
trapz,18,1,3.651900260592811e-05,0.774160089169306
trapz,18,2,2.8775000828318298e-05,0.774160089169306
trapz,18,3,2.7552996471058577e-05,0.774160089169306
trapz,18,4,2.865499845938757e-05,0.774160089169306
trapz,33,0,2.9916998755652457e-05,0.7725067867489075
trapz,33,1,2.7612000849330798e-05,0.7725067867489075
trapz,33,2,2.7030997443944216e-05,0.7725067867489075
trapz,33,3,2.671099719009362e-05,0.7725067867489075
trapz,33,4,2.6891000743489712e-05,0.7725067867489075
trapz,61,0,3.0768002034164965e-05,0.772053393544977
trapz,61,1,2.787400080705993e-05,0.772053393544977
trapz,61,2,2.7242000214755535e-05,0.772053393544977
trapz,61,3,2.7262001822236925e-05,0.772053393544977
trapz,61,4,2.6630998036125675e-05,0.772053393544977
trapz,112,0,3.165999805787578e-05,0.7719267249621127
trapz,112,1,2.8664002456935123e-05,0.7719267249621127
trapz,112,2,2.8263999411137775e-05,0.7719267249621127
trapz,112,3,2.8032998670823872e-05,0.7719267249621127
trapz,112,4,2.8213999030413106e-05,0.7719267249621127
trapz,206,0,3.4374999813735485e-05,0.7718898405765169
trapz,206,1,3.364500298630446e-05,0.7718898405765169
trapz,206,2,3.3143001928692684e-05,0.7718898405765169
trapz,206,3,3.209100032108836e-05,0.7718898405765169
trapz,206,4,3.2220999855780974e-05,0.7718898405765169
trapz,379,0,3.888400169671513e-05,0.7718790473576901
trapz,379,1,3.7170000723563135e-05,0.7718790473576901
trapz,379,2,3.691999881993979e-05,0.7718790473576901
trapz,379,3,3.671000013127923e-05,0.7718790473576901
trapz,379,4,3.6579000152414665e-05,0.7718790473576901
trapz,695,0,4.727999839815311e-05,0.771875884841781
trapz,695,1,4.628800161299296e-05,0.771875884841781
trapz,695,2,4.5777000195812434e-05,0.771875884841781
trapz,695,3,4.581699977279641e-05,0.771875884841781
trapz,695,4,4.557600186672062e-05,0.771875884841781
trapz,1274,0,6.232899977476336e-05,0.7718749474119889
trapz,1274,1,6.231900260900147e-05,0.7718749474119889
trapz,1274,2,6.176800161483698e-05,0.7718749474119889
trapz,1274,3,6.010399738443084e-05,0.7718749474119889
trapz,1274,4,5.957300163572654e-05,0.7718749474119889
trapz,2335,0,9.012100053951144e-05,0.7718746689101149
trapz,2335,1,8.675500066601671e-05,0.7718746689101149
trapz,2335,2,8.685599823365919e-05,0.7718746689101149
trapz,2335,3,8.688600064488128e-05,0.7718746689101149
trapz,2335,4,8.62340020830743e-05,0.7718746689101149
trapz,4281,0,0.0002475709989084862,0.7718745860508704
trapz,4281,1,0.00016206899817916565,0.7718745860508704
trapz,4281,2,0.00013816299906466156,0.7718745860508704
trapz,4281,3,0.00013659000251209363,0.7718745860508704
trapz,4281,4,0.00013606900029117242,0.7718745860508704
trapz,7847,0,0.00029534200075431727,0.7718745614167326
trapz,7847,1,0.00022792399977333844,0.7718745614167326
trapz,7847,2,0.0002667180015123449,0.7718745614167326
trapz,7847,3,0.00023075900026015006,0.7718745614167326
trapz,7847,4,0.0002576400001998991,0.7718745614167326
trapz,14384,0,0.0005077669993625022,0.7718745540863731
trapz,14384,1,0.0005085679986223113,0.7718745540863731
trapz,14384,2,0.0004077769990544766,0.7718745540863731
trapz,14384,3,0.0003909450024366379,0.7718745540863731
trapz,14384,4,0.0004233660001773387,0.7718745540863731
trapz,26366,0,0.0008451590001641307,0.7718745519051328
trapz,26366,1,0.0007693949992244598,0.7718745519051328
trapz,26366,2,0.000734268000087468,0.7718745519051328
trapz,26366,3,0.0006924490007804707,0.7718745519051328
trapz,26366,4,0.0007974580003065057,0.7718745519051328
trapz,48329,0,0.0014973819997976534,0.7718745512559892
trapz,48329,1,0.0015449720012838952,0.7718745512559892
trapz,48329,2,0.0013659310025104787,0.7718745512559892
trapz,48329,3,0.0016829839987622108,0.7718745512559892
trapz,48329,4,0.001442155997210648,0.7718745512559892
trapz,88586,0,0.003028997998626437,0.7718745510627966
trapz,88586,1,0.0025603650028642733,0.7718745510627966
trapz,88586,2,0.0025412590002815705,0.7718745510627966
trapz,88586,3,0.002434966998407617,0.7718745510627966
trapz,88586,4,0.009411049999471288,0.7718745510627966
