method,n_points,time_mean_s,time_std_s,count
simpson,10,0.00022101880022091792,7.542263712346607e-05,5
simpson,18,0.0001740353982313536,6.0179707203137794e-05,5
simpson,33,0.00011552799987839535,2.330383739515216e-05,5
simpson,61,9.678619899204932e-05,1.3513423245708389e-06,5
simpson,112,0.00015212159996735863,3.0287825290390738e-05,5
simpson,206,0.00015797479936736637,1.6905087440668165e-05,5
simpson,379,0.00012155119984527118,1.0727824385509126e-05,5
simpson,695,0.0007649446015420835,0.0008879509274823661,5
simpson,1274,0.00014831020016572438,2.444666490515625e-05,5
simpson,2335,0.00015143639975576662,4.036651703675461e-05,5
simpson,4281,0.00018478779966244475,6.4084278462601695e-06,5
simpson,7847,0.0004758902010507882,0.0002739708652654194,5
simpson,14384,0.0007707035991188604,0.00010137854026347247,5
simpson,26366,0.0014352569996844977,0.00028947219849852587,5
simpson,48329,0.004167381600564113,0.0023562351790672635,5
simpson,88586,0.008166229799826397,0.003044735580239212,5
simpson,162377,0.015599140600534156,0.004163945970748321,5
simpson,297635,0.030112841399386525,0.006180509062258601,5
simpson,545559,0.04992448840057477,0.007822681761873656,5
simpson,1000000,0.08423586000062641,0.01989195519961574,5
trapz,10,4.497139889281243e-05,3.627779093613646e-05,5
trapz,18,3.7441599852172656e-05,1.6200511809505314e-05,5
trapz,33,2.763239899650216e-05,1.3209985455858343e-06,5
trapz,61,2.7955400582868606e-05,1.6325698208365137e-06,5
trapz,112,2.8966999525437132e-05,1.5229596860937563e-06,5
trapz,206,3.309500098112039e-05,9.637295523913422e-07,5
trapz,379,3.725260030478239e-05,9.390246340875026e-07,5
trapz,695,4.614760036929511e-05,6.847269339177257e-07,5
trapz,1274,6.121860060375184e-05,1.293836220625366e-06,5
trapz,2335,8.737040043342859e-05,1.560061842225639e-06,5
trapz,4281,0.0001640923997911159,4.792389086442565e-05,5
trapz,7847,0.00025567660050000994,2.779480662299449e-05,5
trapz,14384,0.00044768459993065334,5.639165670374616e-05,5
trapz,26366,0.0007677458001126069,5.845662777751827e-05,5
trapz,48329,0.0015066849999129772,0.00011896371007044989,5
trapz,88586,0.003995327799930237,0.0030361159546982474,5
trapz,162377,0.008466014800069388,0.003983629499103332,5
trapz,297635,0.01574453840003116,0.005818847127897148,5
trapz,545559,0.040580120800586886,0.004917587523799313,5
trapz,1000000,0.07283830280066468,0.01429077812149707,5
