function_index,method,n_points,vectorized,run,time_s,result
0,simpson,10,True,0,0.0005456699982460123,1.0
1,simpson,10,True,0,0.00031565199969918467,0.987354493809756
2,simpson,10,True,0,0.00026583699946058914,1.0126455061902442
3,simpson,10,True,0,0.00021654299780493602,0.9303257877197908
4,simpson,10,True,0,0.00030826799775240943,1.0696742122802094
5,simpson,10,True,0,0.000241860998357879,0.9583333333333328
6,simpson,10,True,0,0.00022082099894760177,1.0416666666666674
7,simpson,10,True,0,0.00023435699768015184,0.998986385137121
0,simpson,10,True,1,0.00022779400023864582,1.0
1,simpson,10,True,1,0.00018574400019133464,0.987354493809756
2,simpson,10,True,1,0.00016712800061213784,1.0126455061902442
3,simpson,10,True,1,0.00017355100135318935,0.9303257877197908
4,simpson,10,True,1,0.0001746220004861243,1.0696742122802094
5,simpson,10,True,1,0.00019544200040400028,0.9583333333333328
6,simpson,10,True,1,0.00016467399836983532,1.0416666666666674
7,simpson,10,True,1,0.0001710760006972123,0.998986385137121
0,simpson,10,True,2,0.00021031100186519325,1.0
1,simpson,10,True,2,0.00019780799993895926,0.987354493809756
2,simpson,10,True,2,0.00018772800103761256,1.0126455061902442
3,simpson,10,True,2,0.0001551550012663938,0.9303257877197908
4,simpson,10,True,2,0.000157169000885915,1.0696742122802094
5,simpson,10,True,2,0.00016021500050555915,0.9583333333333328
6,simpson,10,True,2,0.00016451400006189942,1.0416666666666674
7,simpson,10,True,2,0.0001787509972928092,0.998986385137121
0,simpson,21,True,0,0.0001241369973286055,1.0
1,simpson,21,True,0,0.00012962700202479027,1.0000000000000002
2,simpson,21,True,0,0.00016044599760789424,1.0000000000000002
3,simpson,21,True,0,0.00012398600301821716,1.0
4,simpson,21,True,0,0.00011463899863883853,1.0000000000000004
5,simpson,21,True,0,0.0002054210017377045,1.0000000000000002
6,simpson,21,True,0,0.00017867999849841,1.0000000000000004
7,simpson,21,True,0,0.00014181000005919486,1.0000000000000004
0,simpson,21,True,1,0.00021376800214056857,1.0
1,simpson,21,True,1,0.00021717400159104727,1.0000000000000002
2,simpson,21,True,1,0.00018125499991583638,1.0000000000000002
3,simpson,21,True,1,0.00017753800057107583,1.0
4,simpson,21,True,1,0.00018265799735672772,1.0000000000000004
5,simpson,21,True,1,0.00019736600006581284,1.0000000000000002
6,simpson,21,True,1,0.00017569500050740317,1.0000000000000004
7,simpson,21,True,1,0.00017620599828660488,1.0000000000000004
0,simpson,21,True,2,0.00017568499970366247,1.0
1,simpson,21,True,2,0.00020274700000300072,1.0000000000000002
2,simpson,21,True,2,0.0002701049997995142,1.0000000000000002
3,simpson,21,True,2,0.00021527100034290925,1.0
4,simpson,21,True,2,0.0001727190028759651,1.0000000000000004
5,simpson,21,True,2,0.0001514489995315671,1.0000000000000002
6,simpson,21,True,2,0.00016166800196515396,1.0000000000000004
7,simpson,21,True,2,0.00016172799951164052,1.0000000000000004
0,simpson,45,True,0,0.0001228340006491635,1.0
1,simpson,45,True,0,0.00012383599823806435,1.0000000000000002
2,simpson,45,True,0,0.00012923699978273362,1.0
3,simpson,45,True,0,0.0001779589983925689,1.0
4,simpson,45,True,0,0.00013737200060859323,1.0000000000000002
5,simpson,45,True,0,0.00013915499948780052,1.0000000000000002
6,simpson,45,True,0,0.00013057899923296645,1.0
7,simpson,45,True,0,0.00015205000090645626,1.0000000000000002
0,simpson,45,True,1,0.00011885599815286696,1.0
1,simpson,45,True,1,0.00012239300122018903,1.0000000000000002
2,simpson,45,True,1,0.00011680199895636179,1.0
3,simpson,45,True,1,0.00014368399934028275,1.0
4,simpson,45,True,1,0.00014488599845208228,1.0000000000000002
5,simpson,45,True,1,0.00012761300240526907,1.0000000000000002
6,simpson,45,True,1,0.0001294270005018916,1.0
7,simpson,45,True,1,0.00013222200141171925,1.0000000000000002
0,simpson,45,True,2,0.0001238959994225297,1.0
1,simpson,45,True,2,0.00012529900050139986,1.0000000000000002
2,simpson,45,True,2,0.00011523899956955574,1.0
3,simpson,45,True,2,0.00011396700210752897,1.0
4,simpson,45,True,2,0.00011658299990813248,1.0000000000000002
5,simpson,45,True,2,0.00013232199853518978,1.0000000000000002
6,simpson,45,True,2,0.00012038900240440853,1.0
7,simpson,45,True,2,0.00011660300151561387,1.0000000000000002
0,simpson,97,True,0,0.0001488939997216221,1.0
1,simpson,97,True,0,0.00011936800001421943,1.0
2,simpson,97,True,0,0.00011544999870238826,1.0000000000000002
3,simpson,97,True,0,0.00012328499724389985,1.0
4,simpson,97,True,0,0.00011512000128277577,1.0000000000000002
5,simpson,97,True,0,0.0001186459994642064,1.0
6,simpson,97,True,0,0.0001182449996122159,1.0000000000000004
7,simpson,97,True,0,0.00011530000119819306,1.0
0,simpson,97,True,1,0.0001099600012821611,1.0
1,simpson,97,True,1,0.00011466899741208181,1.0
2,simpson,97,True,1,0.00011573000301723368,1.0000000000000002
3,simpson,97,True,1,0.00011467900185380131,1.0
4,simpson,97,True,1,0.00011748399992939085,1.0000000000000002
5,simpson,97,True,1,0.00012372600031085312,1.0
6,simpson,97,True,1,0.0001256299983651843,1.0000000000000004
7,simpson,97,True,1,0.00013409600069280714,1.0
0,simpson,97,True,2,0.0001774789998307824,1.0
1,simpson,97,True,2,0.00015585700020892546,1.0
2,simpson,97,True,2,0.00011943799836444668,1.0000000000000002
3,simpson,97,True,2,0.00011512000128277577,1.0
4,simpson,97,True,2,0.00011418700159993023,1.0000000000000002
5,simpson,97,True,2,0.00011420800001360476,1.0
6,simpson,97,True,2,0.00011620100121945143,1.0000000000000004
7,simpson,97,True,2,0.00011325599916744977,1.0
0,simpson,206,True,0,0.0001878080001915805,1.0
1,simpson,206,True,0,0.0001638730027480051,0.9999999971319488
2,simpson,206,True,0,0.00015881299987086095,1.0000000028680516
3,simpson,206,True,0,0.0001589029998285696,0.999999954197328
4,simpson,206,True,0,0.00015752999752294272,1.000000045802672
5,simpson,206,True,0,0.00015611799972248264,0.9999997688492154
6,simpson,206,True,0,0.00018055400141747668,1.000000231150785
7,simpson,206,True,0,0.00015936400086502545,0.9999992726475087
0,simpson,206,True,1,0.000151830001414055,1.0
1,simpson,206,True,1,0.00016277999748126604,0.9999999971319488
2,simpson,206,True,1,0.00015854299999773502,1.0000000028680516
3,simpson,206,True,1,0.00016147800124599598,0.999999954197328
4,simpson,206,True,1,0.00016010499894036911,1.000000045802672
5,simpson,206,True,1,0.0001636320012039505,0.9999997688492154
6,simpson,206,True,1,0.00016970399883575737,1.000000231150785
7,simpson,206,True,1,0.00022158299907459877,0.9999992726475087
0,simpson,206,True,2,0.00019009199968422763,1.0
1,simpson,206,True,2,0.00025798199931159616,0.9999999971319488
2,simpson,206,True,2,0.00020567200044752099,1.0000000028680516
3,simpson,206,True,2,0.00019315800091135316,0.999999954197328
4,simpson,206,True,2,0.00021732399909524247,1.000000045802672
5,simpson,206,True,2,0.00019235699801356532,0.9999997688492154
6,simpson,206,True,2,0.00022968700068304315,1.000000231150785
7,simpson,206,True,2,0.00022322500080917962,0.9999992726475087
0,simpson,440,True,0,0.00019086300017079338,1.0
1,simpson,440,True,0,0.00017208799908985384,0.9999999999362843
2,simpson,440,True,0,0.0002363700004934799,1.000000000063716
3,simpson,440,True,0,0.0002543740010878537,0.9999999989809669
4,simpson,440,True,0,0.00020289600070100278,1.0000000010190335
5,simpson,440,True,0,0.0001710760006972123,0.9999999948446662
6,simpson,440,True,0,0.00016861100084497593,1.0000000051553344
7,simpson,440,True,0,0.00019936999888159335,0.9999999837221695
0,simpson,440,True,1,0.00016232900088652968,1.0
1,simpson,440,True,1,0.00017419199866708368,0.9999999999362843
2,simpson,440,True,1,0.00016890100232558325,1.000000000063716
3,simpson,440,True,1,0.0001688820011622738,0.9999999989809669
4,simpson,440,True,1,0.00017038399892044254,1.0000000010190335
5,simpson,440,True,1,0.00016700800188118592,0.9999999948446662
6,simpson,440,True,1,0.00016307999976561405,1.0000000051553344
7,simpson,440,True,1,0.00016374299957533367,0.9999999837221695
0,simpson,440,True,2,0.00015542599794571288,1.0
1,simpson,440,True,2,0.00016401199900428765,0.9999999999362843
2,simpson,440,True,2,0.00016473399955430068,1.000000000063716
3,simpson,440,True,2,0.0001644629992370028,0.9999999989809669
4,simpson,440,True,2,0.00016412200056947768,1.0000000010190335
5,simpson,440,True,2,0.00016380200031562708,0.9999999948446662
6,simpson,440,True,2,0.0001771770002960693,1.0000000051553344
7,simpson,440,True,2,0.00019106499894405715,0.9999999837221695
0,simpson,938,True,0,0.002244778999738628,1.0
1,simpson,938,True,0,0.00032269599978462793,0.9999999999985616
2,simpson,938,True,0,0.0002540040004532784,1.0000000000014388
3,simpson,938,True,0,0.00020789599875570275,0.9999999999769856
4,simpson,938,True,0,0.00017192800078191794,1.0000000000230145
5,simpson,938,True,0,0.00015773099949001335,0.9999999998835076
6,simpson,938,True,0,0.00019188599981134757,1.0000000001164926
7,simpson,938,True,0,0.00015091699970071204,0.9999999996319033
0,simpson,938,True,1,0.00012969700037501752,1.0
1,simpson,938,True,1,0.00014985499728936702,0.9999999999985616
2,simpson,938,True,1,0.0001605159995961003,1.0000000000014388
3,simpson,938,True,1,0.00015086700295796618,0.9999999999769856
4,simpson,938,True,1,0.00014288199963630177,1.0000000000230145
5,simpson,938,True,1,0.00014170000213198364,0.9999999998835076
6,simpson,938,True,1,0.00014059800014365464,1.0000000001164926
7,simpson,938,True,1,0.00016696799866622314,0.9999999996319033
0,simpson,938,True,2,0.00013580900122178718,1.0
1,simpson,938,True,2,0.00014909400124452077,0.9999999999985616
2,simpson,938,True,2,0.00018568399900686927,1.0000000000014388
3,simpson,938,True,2,0.00016166799832717516,0.9999999999769856
4,simpson,938,True,2,0.00014754200310562737,1.0000000000230145
5,simpson,938,True,2,0.00017355099771521054,0.9999999998835076
6,simpson,938,True,2,0.0001638529975025449,1.0000000001164926
7,simpson,938,True,2,0.00014762099817744456,0.9999999996319033
0,simpson,2000,True,0,0.00015410400010296144,1.0
1,simpson,2000,True,0,0.000175784996827133,0.9999999999999676
2,simpson,2000,True,0,0.0001729399991745595,1.0000000000000326
3,simpson,2000,True,0,0.00017501399997854605,0.9999999999994793
4,simpson,2000,True,0,0.00018747799913398921,1.000000000000521
5,simpson,2000,True,0,0.0002447970000503119,0.9999999999973636
6,simpson,2000,True,0,0.00018853999790735543,1.0000000000026366
7,simpson,2000,True,0,0.00017480300084571354,0.9999999999916679
0,simpson,2000,True,1,0.0001334650005446747,1.0
1,simpson,2000,True,1,0.0004512800005613826,0.9999999999999676
