         1053075 function calls (989872 primitive calls) in 2.863 seconds

   Ordered by: cumulative time
   List reduced from 362 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.863    2.863 /tmp/ipykernel_16176/2511335428.py:36(profile_complete_sola)
   364/54    0.000    0.000    2.804    0.052 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:438(__call__)
       54    0.000    0.000    2.779    0.051 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/sola_operator.py:71(mapping)
       54    0.010    0.000    2.779    0.051 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/sola_operator.py:115(_project_function)
  104/103    0.000    0.000    2.776    0.027 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:1158(mapping)
        1    0.000    0.000    2.608    2.608 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/linear_solvers.py:83(__call__)
      2/1    0.000    0.000    2.608    2.608 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:740(matrix)
        1    0.000    0.000    2.608    2.608 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:1062(_compute_dense_matrix)
       53    0.000    0.000    2.607    0.049 /home/adrian/miniconda3/envs/inferences3/lib/python3.11/site-packages/scipy/sparse/linalg/_interface.py:205(matvec)
       53    0.000    0.000    2.607    0.049 /home/adrian/miniconda3/envs/inferences3/lib/python3.11/site-packages/scipy/sparse/linalg/_interface.py:592(_matvec)
       51    0.000    0.000    2.607    0.051 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:749(matvec)
       51    0.000    0.000    2.606    0.051 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/hilbert_space.py:1122(mapping)
       51    0.000    0.000    2.562    0.050 /home/adrian/miniconda3/envs/inferences3/lib/python3.11/site-packages/scipy/sparse/linalg/_interface.py:451(__matmul__)
       51    0.000    0.000    2.562    0.050 /home/adrian/miniconda3/envs/inferences3/lib/python3.11/site-packages/scipy/sparse/linalg/_interface.py:410(__mul__)
       51    0.000    0.000    2.562    0.050 /home/adrian/miniconda3/envs/inferences3/lib/python3.11/site-packages/scipy/sparse/linalg/_interface.py:419(dot)
     2640    0.006    0.000    2.250    0.001 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/l2_space.py:206(inner_product)
     2640    0.005    0.000    2.222    0.001 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/l2_functions.py:358(integrate)
     2640    0.023    0.000    2.217    0.001 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/interval_domain.py:166(integrate)
     2640    0.004    0.000    2.069    0.001 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/interval_domain.py:293(_evaluate_function_vectorized)
     2640    0.005    0.000    2.050    0.001 /home/adrian/PhD/Inferences/pygeoinf/pygeoinf/interval/l2_functions.py:602(product_callable)


