pygeoinf2/examples/21_tomography.py:168: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
WALL 17.017767566000202
         16300577 function calls (16034657 primitive calls) in 17.010 seconds

   Ordered by: cumulative time
   List reduced from 10413 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.018   17.018 <frozen runpy>:262(run_path)
   2202/2    0.045    0.000   17.016    8.508 {built-in method builtins.exec}
        1    0.000    0.000   17.016   17.016 <frozen runpy>:91(_run_module_code)
        1    0.000    0.000   17.016   17.016 <frozen runpy>:65(_run_code)
        1    0.002    0.002   17.016   17.016 pygeoinf2/examples/21_tomography.py:1(<module>)
     2078    0.008    0.000    6.977    0.003 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/transforms.py:2422(transform_path_non_affine)
     2082    0.030    0.000    6.965    0.003 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/mpl/geoaxes.py:133(transform_path_non_affine)
        9    0.000    0.000    6.217    0.691 /usr/lib/python3.12/functools.py:904(wrapper)
        4    0.000    0.000    6.166    1.541 /home/david/dev/pygeoinf/pygeoinf2/plotting/sphere.py:52(_)
      9/5    0.000    0.000    6.085    1.217 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/mpl/geoaxes.py:274(wrapper)
        4    0.000    0.000    6.083    1.521 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/mpl/geoaxes.py:1748(pcolormesh)
     2078    0.011    0.000    5.959    0.003 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/crs.py:804(project_geometry)
        4    0.002    0.000    5.932    1.483 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/mpl/geoaxes.py:1823(_wrap_quadmesh)
        4    0.000    0.000    5.917    1.479 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/mpl/geoaxes.py:1976(pcolor)
       13    0.002    0.000    5.872    0.452 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/collections.py:242(get_datalim)
      784    0.038    0.000    5.361    0.007 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/crs.py:954(_project_polygon)
      784    0.264    0.000    4.398    0.006 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/cartopy/crs.py:987(_attach_lines_to_boundary)
        1    0.039    0.039    3.946    3.946 /home/david/dev/pygeoinf/pygeoinf2/plotting/sphere.py:245(plot_paths)
   415202    0.706    0.000    3.185    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/decorators.py:73(wrapped)
486329/338481    0.294    0.000    3.089    0.000 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/shapely/decorators.py:171(wrapper)
        1    0.003    0.003    2.794    2.794 /home/david/dev/pygeoinf/pygeoinf2/symmetric_space/base.py:1917(path_average_operator)
        1    1.555    1.555    2.791    2.791 /home/david/dev/pygeoinf/pygeoinf2/symmetric_space/base.py:1965(_path_operator)
  2048/10    0.012    0.000    2.537    0.254 <frozen importlib._bootstrap>:1349(_find_and_load)
   2003/9    0.007    0.000    2.536    0.282 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  1933/10    0.006    0.000    2.535    0.254 <frozen importlib._bootstrap>:911(_load_unlocked)
  1721/10    0.003    0.000    2.535    0.253 <frozen importlib._bootstrap_external>:989(exec_module)
  4629/19    0.004    0.000    2.532    0.133 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   896/26    0.001    0.000    2.485    0.096 {built-in method builtins.__import__}
     1294    0.015    0.000    2.324    0.002 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/axes/_axes.py:1532(plot)
6324/3853    0.006    0.000    1.825    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     1294    0.016    0.000    1.799    0.001 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/matplotlib/axes/_base.py:2408(add_line)
