pygeoinf2/examples/26_mixture.py:157: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
WALL 12.228263751999748
         6339211 function calls (6183422 primitive calls) in 12.208 seconds

   Ordered by: cumulative time
   List reduced from 6712 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   12.228   12.228 <frozen runpy>:262(run_path)
   1334/2    0.033    0.000   12.227    6.113 {built-in method builtins.exec}
        1    0.000    0.000   12.227   12.227 <frozen runpy>:91(_run_module_code)
        1    0.000    0.000   12.227   12.227 <frozen runpy>:65(_run_code)
        1    0.000    0.000   12.227   12.227 pygeoinf2/examples/26_mixture.py:1(<module>)
        1    0.000    0.000   10.579   10.579 /home/david/dev/pygeoinf/pygeoinf2/plotting/distributions.py:371(plot_corner)
        3    8.905    2.968    8.907    2.969 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/stats/_kde.py:247(evaluate)
   1176/8    0.005    0.000    1.645    0.206 <frozen importlib._bootstrap>:1349(_find_and_load)
   1134/8    0.004    0.000    1.644    0.206 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   1103/9    0.003    0.000    1.643    0.183 <frozen importlib._bootstrap>:911(_load_unlocked)
    956/9    0.002    0.000    1.643    0.183 <frozen importlib._bootstrap_external>:989(exec_module)
  2650/17    0.002    0.000    1.640    0.096 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.012    0.012    1.592    1.592 /home/david/dev/pygeoinf/pygeoinf2/plotting/distributions.py:58(moments)
   669/21    0.001    0.000    1.587    0.076 {built-in method builtins.__import__}
    20000    0.160    0.000    1.574    0.000 /home/david/dev/pygeoinf/pygeoinf2/probability/mixture.py:215(sample)
60001/20001    0.057    0.000    1.358    0.000 /home/david/dev/pygeoinf/pygeoinf2/probability/gaussian.py:437(sample)
    20000    0.094    0.000    1.303    0.000 /home/david/dev/pygeoinf/pygeoinf2/inference/gaussian.py:565(_draw_fluctuation)
        1    0.000    0.000    1.040    1.040 /home/david/dev/pygeoinf/pygeoinf2/__init__.py:1(<module>)
  944/435    0.002    0.000    0.928    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.837    0.837 /home/david/dev/pygeoinf/pygeoinf2/geometry/__init__.py:1(<module>)
        1    0.000    0.000    0.836    0.836 /home/david/dev/pygeoinf/pygeoinf2/geometry/convex.py:1(<module>)
        1    0.000    0.000    0.835    0.835 /home/david/dev/pygeoinf/pygeoinf2/numerics/__init__.py:1(<module>)
        1    0.000    0.000    0.795    0.795 /home/david/dev/pygeoinf/pygeoinf2/numerics/quadratic_forms.py:1(<module>)
140062/80024    0.048    0.000    0.740    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/operators.py:235(__call__)
    20008    0.025    0.000    0.577    0.000 /home/david/dev/pygeoinf/pygeoinf2/algebra/nodes.py:301(_value)
        1    0.000    0.000    0.535    0.535 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/stats/__init__.py:1(<module>)
      625    0.001    0.000    0.491    0.001 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/_lib/_docscrape.py:579(__init__)
      633    0.002    0.000    0.444    0.001 /home/david/.cache/pypoetry/virtualenvs/pygeoinf-0ZCu7S8P-py3.12/lib/python3.12/site-packages/scipy/_lib/_docscrape.py:140(__init__)
